                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.566,                  4.651,                 1.8534,                0.09789,                0.24935,                0.11702,                0.07303,                 1.4321,                 3.1531,                 1.7532,                0.07001,              0.0033322,              0.0033322
                      1,                 1.3632,                 3.2378,                 1.6525,                0.21107,                0.35502,                0.21384,                0.12661,                  1.516,                 3.4169,                 1.8445,               0.039878,              0.0065336,              0.0065336
                      2,                 1.4077,                 2.9052,                  1.664,                 0.1673,                0.37593,                0.19838,                 0.1127,                 1.5549,                 4.7581,                  1.889,              0.0096139,              0.0096029,              0.0096029
                      3,                 1.4629,                 2.8238,                 1.7128,                0.19986,                0.45586,                0.21904,                0.11833,                 1.5577,                 10.048,                 1.8647,               0.009406,               0.009406,               0.009406
                      4,                  1.477,                 2.7557,                   1.73,                0.24353,                0.44097,                0.25569,                0.13955,                 1.5781,                 8.6973,                 1.9924,               0.009406,               0.009406,               0.009406
                      5,                 1.4105,                 2.5781,                 1.7112,                0.35574,                0.50921,                0.39741,                0.22175,                 1.5447,                 3.3332,                 1.8951,               0.009208,               0.009208,               0.009208
                      6,                 1.3849,                 2.4413,                 1.6679,                0.31695,                0.49767,                0.36051,                0.21603,                 1.4904,                 4.1511,                 1.7936,                0.00901,                0.00901,                0.00901
                      7,                 1.3594,                 2.2853,                 1.6353,                 0.3862,                0.48747,                 0.3795,                0.22785,                  1.612,                 5.1574,                 1.9309,               0.008812,               0.008812,               0.008812
                      8,                  1.334,                 2.1799,                 1.6302,                0.49073,                0.51848,                0.52115,                0.32326,                 1.3798,                  2.791,                 1.7264,               0.008614,               0.008614,               0.008614
                      9,                 1.2975,                 2.0711,                 1.5753,                0.50588,                 0.5408,                0.49393,                0.32005,                 1.3409,                 3.6493,                 1.6913,               0.008416,               0.008416,               0.008416
                     10,                 1.2869,                 2.0086,                  1.579,                0.43224,                0.53859,                0.50519,                0.31527,                  1.422,                 3.1129,                 1.7888,               0.008218,               0.008218,               0.008218
                     11,                 1.2614,                 1.9394,                 1.5673,                0.51983,                0.66492,                0.64324,                0.41882,                 1.2735,                  2.559,                 1.6439,                0.00802,                0.00802,                0.00802
                     12,                 1.2216,                 1.8334,                 1.5242,                0.52749,                0.66721,                0.62378,                0.40482,                 1.3284,                 2.5198,                  1.685,               0.007822,               0.007822,               0.007822
                     13,                 1.2222,                 1.7873,                 1.5199,                0.57564,                0.62685,                0.60963,                0.38413,                 1.4245,                  2.874,                 1.7527,               0.007624,               0.007624,               0.007624
                     14,                 1.2002,                 1.7585,                 1.5164,                0.55927,                0.63174,                 0.6337,                0.39562,                 1.3703,                 2.7976,                 1.7401,               0.007426,               0.007426,               0.007426
                     15,                 1.1658,                 1.6902,                 1.4789,                0.56096,                0.62424,                0.61717,                0.39211,                 1.3457,                 2.5139,                 1.7197,               0.007228,               0.007228,               0.007228
                     16,                 1.1545,                 1.6324,                  1.471,                0.61719,                0.70219,                0.68828,                0.45757,                 1.2294,                 3.3605,                 1.6098,                0.00703,                0.00703,                0.00703
                     17,                  1.155,                 1.5946,                 1.4756,                0.62688,                0.74596,                0.71517,                0.48614,                 1.2092,                 2.0668,                 1.5802,               0.006832,               0.006832,               0.006832
                     18,                 1.1361,                 1.5487,                 1.4715,                0.66756,                0.73432,                0.72145,                0.48279,                 1.2305,                 2.1466,                 1.6263,               0.006634,               0.006634,               0.006634
                     19,                 1.1247,                 1.4777,                 1.4461,                0.68541,                0.70737,                0.74164,                0.51215,                 1.2039,                 1.9038,                 1.5299,               0.006436,               0.006436,               0.006436
                     20,                 1.1365,                 1.4772,                  1.456,                0.78298,                0.79423,                0.80983,                0.55072,                 1.1891,                 1.7523,                 1.5595,               0.006238,               0.006238,               0.006238
                     21,                 1.0879,                 1.4525,                 1.4175,                0.70966,                0.73341,                0.76749,                0.53096,                   1.18,                 2.1259,                 1.5412,                0.00604,                0.00604,                0.00604
                     22,                 1.0826,                 1.4345,                 1.4103,                0.71859,                0.80476,                 0.8049,                0.55383,                 1.2094,                 2.0817,                  1.556,               0.005842,               0.005842,               0.005842
                     23,                 1.0743,                 1.3443,                 1.3891,                0.65971,                0.78381,                0.77124,                0.53889,                 1.1783,                 2.0087,                 1.5216,               0.005644,               0.005644,               0.005644
                     24,                 1.0697,                 1.3402,                 1.3922,                0.70555,                0.77676,                0.75549,                0.52069,                 1.2456,                 2.4629,                   1.61,               0.005446,               0.005446,               0.005446
                     25,                 1.0558,                 1.3004,                 1.3933,                0.72271,                0.82374,                0.82433,                0.56623,                 1.2014,                 1.6925,                 1.5402,               0.005248,               0.005248,               0.005248
                     26,                 1.0342,                 1.2478,                 1.3607,                0.75867,                0.80312,                0.82342,                0.57688,                 1.1886,                 1.6977,                 1.5296,                0.00505,                0.00505,                0.00505
                     27,                 1.0421,                 1.2575,                 1.3754,                0.76544,                0.82395,                 0.8394,                0.56683,                 1.1786,                 2.0317,                 1.5639,               0.004852,               0.004852,               0.004852
                     28,                 1.0333,                 1.2424,                 1.3646,                0.69676,                 0.8475,                0.80994,                0.54723,                 1.2371,                 3.0302,                  1.571,               0.004654,               0.004654,               0.004654
                     29,                 1.0209,                 1.2327,                  1.357,                0.78992,                0.81918,                0.84929,                0.58847,                 1.1637,                 1.6751,                 1.5269,               0.004456,               0.004456,               0.004456
                     30,                 1.0032,                 1.1937,                 1.3401,                0.77234,                0.81826,                0.82386,                0.57395,                  1.188,                 1.7746,                 1.5204,               0.004258,               0.004258,               0.004258
                     31,                  1.005,                 1.1613,                 1.3374,                0.81287,                0.78799,                0.83637,                0.56731,                 1.2567,                 1.7111,                 1.5687,                0.00406,                0.00406,                0.00406
                     32,                 0.9986,                  1.136,                 1.3377,                0.79588,                0.83534,                0.85304,                0.57477,                 1.2127,                  1.873,                 1.5423,               0.003862,               0.003862,               0.003862
                     33,                0.98152,                 1.1091,                 1.3296,                0.80645,                0.89189,                0.87959,                0.61793,                 1.1293,                 1.4383,                 1.4894,               0.003664,               0.003664,               0.003664
                     34,                0.96562,                 1.1153,                 1.3206,                0.82131,                0.83124,                0.87579,                0.60881,                 1.1845,                 1.5997,                 1.5021,               0.003466,               0.003466,               0.003466
                     35,                0.97196,                 1.0967,                 1.3147,                 0.8952,                0.86166,                0.91644,                0.65515,                 1.1009,                 1.1797,                 1.4408,               0.003268,               0.003268,               0.003268
                     36,                0.95719,                 1.0591,                 1.3071,                0.83578,                 0.8876,                0.90252,                0.64516,                 1.1002,                 1.4027,                 1.4282,                0.00307,                0.00307,                0.00307
                     37,                0.94422,                 1.0282,                 1.2951,                0.89109,                0.84936,                 0.8968,                0.65556,                   1.07,                 1.3144,                 1.4158,               0.002872,               0.002872,               0.002872
                     38,                0.95103,                0.99985,                 1.3016,                0.86155,                0.89441,                0.91357,                0.65803,                 1.0941,                 1.2952,                 1.4248,               0.002674,               0.002674,               0.002674
                     39,                 0.9195,                0.97414,                 1.2827,                0.87545,                0.90414,                  0.927,                0.66777,                 1.0643,                 1.2155,                 1.4139,               0.002476,               0.002476,               0.002476
                     40,                0.81612,                0.50706,                  1.235,                0.89339,                0.89981,                0.93125,                0.66683,                 1.0914,                  1.196,                 1.4292,               0.002278,               0.002278,               0.002278
                     41,                0.80093,                 0.4772,                 1.2272,                0.88306,                0.89004,                0.93076,                0.67207,                 1.0843,                 1.1771,                 1.4389,                0.00208,                0.00208,                0.00208
                     42,                0.78061,                0.44489,                 1.2032,                 0.9132,                0.91935,                0.94666,                0.68541,                 1.0697,                 1.1307,                 1.4213,               0.001882,               0.001882,               0.001882
                     43,                 0.7613,                0.42887,                 1.1951,                0.90682,                0.90724,                0.93165,                0.67877,                 1.0722,                 1.1509,                 1.4211,               0.001684,               0.001684,               0.001684
                     44,                0.74936,                0.41893,                 1.1839,                0.87951,                0.88628,                0.90983,                0.66335,                 1.0769,                 1.1656,                 1.4131,               0.001486,               0.001486,               0.001486
                     45,                0.73328,                0.40373,                 1.1654,                0.88918,                0.87993,                0.91045,                0.65853,                 1.0925,                 1.1574,                 1.4158,               0.001288,               0.001288,               0.001288
                     46,                0.70564,                0.39116,                 1.1487,                 0.9057,                0.88789,                0.92353,                 0.6656,                 1.1056,                 1.1948,                 1.4356,                0.00109,                0.00109,                0.00109
                     47,                0.69568,                0.38242,                 1.1442,                0.88898,                0.89971,                0.92371,                0.67396,                 1.0703,                 1.1543,                  1.412,               0.000892,               0.000892,               0.000892
                     48,                0.68605,                0.36658,                 1.1426,                0.90248,                0.90399,                0.93127,                0.68127,                 1.0643,                 1.0822,                  1.418,               0.000694,               0.000694,               0.000694
                     49,                 0.6703,                0.36012,                  1.123,                0.90947,                0.90117,                0.93024,                0.67363,                 1.0866,                 1.1747,                 1.4281,               0.000496,               0.000496,               0.000496
